,usage_dateID_zulu,usage_timeID_zulu,sunlight_duration_minutes,usage_kWh,passengers,atms
179,20190104,175959,859.66,1386.72,1217.0,12.0
180,20190104,182959,859.66,1009.67,1432.0,15.0
181,20190104,185959,859.66,1479.4,1088.0,12.0
182,20190104,192959,859.66,993.87,1693.0,11.0
183,20190104,195959,859.66,1410.59,1635.0,18.0
184,20190104,202959,859.66,987.55,977.0,11.0
185,20190104,205959,859.66,1482.56,963.0,9.0
186,20190104,212959,859.66,1015.99,364.0,5.0
187,20190104,215959,859.66,1337.56,605.0,9.0
188,20190104,222959,859.66,947.88,312.0,5.0
189,20190104,225959,859.66,951.04,314.0,2.0
190,20190104,232959,859.66,861.52,185.0,3.0
191,20190104,235959,859.66,614.37,370.0,2.0
192,20190105,2959,863.38,555.03,0.0,1.0
193,20190105,5959,863.38,517.82,314.0,3.0
194,20190105,12959,863.38,564.51,0.0,1.0
195,20190105,15959,863.38,577.15,0.0,1.0
196,20190105,22959,863.38,549.42,0.0,1.0
197,20190105,25959,863.38,787.09,0.0,0.0
198,20190105,32959,863.38,1099.19,0.0,0.0
199,20190105,35959,863.38,1195.04,0.0,0.0
200,20190105,42959,863.38,1229.09,0.0,0.0
201,20190105,45959,863.38,1444.64,0.0,2.0
202,20190105,52959,863.38,1111.13,133.0,2.0
203,20190105,55959,863.38,1469.92,602.0,5.0
204,20190105,62959,863.38,1122.39,1919.0,13.0
205,20190105,65959,863.38,1648.93,938.0,9.0
206,20190105,72959,863.38,1190.68,954.0,8.0
207,20190105,75959,863.38,1583.82,419.0,5.0
208,20190105,82959,863.38,1252.62,1012.0,10.0
209,20190105,85959,863.38,1627.46,1117.0,9.0
210,20190105,92959,863.38,1274.09,1132.0,9.0
211,20190105,95959,863.38,1478.23,741.0,7.0
212,20190105,102959,863.38,1128.03,873.0,10.0
213,20190105,105959,863.38,1527.51,1144.0,8.0
214,20190105,112959,863.38,1174.84,996.0,10.0
215,20190105,115959,863.38,1512.37,831.0,7.0
216,20190105,122959,863.38,1181.17,1412.0,12.0
217,20190105,125959,863.38,1490.9,1533.0,10.0
218,20190105,132959,863.38,1072.42,1753.0,12.0
219,20190105,135959,863.38,1456.76,799.0,5.0
220,20190105,142959,863.38,1069.25,1305.0,9.0
221,20190105,145959,863.38,1400.45,767.0,6.0
222,20190105,152959,863.38,1239.25,510.0,3.0
223,20190105,155959,863.38,1478.23,563.0,7.0
224,20190105,162959,863.38,1085.09,943.0,7.0
225,20190105,165959,863.38,1645.76,908.0,6.0
226,20190105,172959,863.38,1145.63,466.0,4.0
227,20190105,175959,863.38,1476.83,0.0,1.0
228,20190105,182959,863.38,1043.21,397.0,3.0
229,20190105,185959,863.38,1548.28,1355.0,7.0
230,20190105,192959,863.38,1017.87,194.0,2.0
231,20190105,195959,863.38,1426.85,1321.0,8.0
232,20190105,202959,863.38,987.6,256.0,2.0
233,20190105,205959,863.38,1495.83,525.0,3.0
234,20190105,212959,863.38,990.77,667.0,4.0
